line_id,summary,question,answer,is_hallucination
1060,"Каспийская нерпа, или каспийский тюлень (лат. Phoca caspica) — вид настоящих тюленей отряда хищных (ранее относились к отряду ластоногих). Эндемик Каспийского моря.  Зимой, ранней весной и поздней осенью каспийский тюлень мигрирует в северную часть моря, где на льдах образует скопления, щенится и линяет, осенью заходит в устья Волги и Урала, до Волгограда и вверх по течению Урала на 200 км, весной перемещается к югу. Держится стадами. Одним из основных негативных факторов, ведущих к сокращению вида, является загрязнение моря.",Что играет важную роль в сокращении численности кассического тюленя?,Загрязнение моря,1
1061,"Сунанд Триамбак Джоши (род. 22 июня 1958), более известный как С.Т. Джоши — американец индийского происхождения, видный литературный критик, новеллист и ведущая фигура в изучении творческого наследия Г. Ф. Лавкрафта и других авторов в жанре ужасов и фантастики. Автор монументальной биографии «Я — Провиденс: Жизнь и эпоха Г. Ф. Лавкрафта» (англ. I Am Providence: The Life and Times of H. P. Lovecraft, 1996); первоначально выпущена одним томом «Лавкрафт: Жизнь» (англ. H. P. Lovecraft: A Life, 1996). Совместно с Девидом Шульцем подготовил и снабдил комментариями несколько изданий Амброза Бирса. Другие герои его работ — мастер остросюжетного детектива Джон Диксон Карр, лорд Дансени, Алджернон Блэквуд, Стивен Кинг и М.Р.Джеймс. Им проделан значительный труд библиографа и каталогизатора произведений Лавкрафта, Бирса, Дансени, Рэмси Кэмпбелла, Уильяма Хоупа Ходжсона, Рэя Бредбери и Кларка Эштона Смита. Был главным редактором серии «Классика ужасов» для издательства Dover Publications. Джоши известен своим язвительным стилем, по словам редактора Элен Дятлоу, как «самый опасный рецензент в данной области». В настоящее время проживает в Сиэтле, штат Вашингтон.",В каком штате находится город Сиэтл?,Калифорния,0
1062,"iPad mini 2 (также iPad mini с дисплеем Retina) — интернет-планшет, представленный корпорацией Apple 22 октября 2013 года.",Каково его полное название?,"iPad mini 2 (также iPad mini с дисплеем Retina) — интернет-планшет, представленный корпорацией Apple 22 октября 2013 года. Его полное название — iPad mini 3.",1
1063,"Хвойная юдолия (Judolia sexmaculata) — вид жесткокрылых насекомых из семейства усачей. Распространён в Австрии, Белоруссии, Эстонии, Финляндии, Франции, Германии, Венгрии, Италии, Латвии, Литве, Норвегии, Польше, Румынии, России, Словакии, Швеции, Швейцарии, Испании, Украине, Великобритании, Монголии, Китае и Японии. Личики развиваются в течение двух лет под корой и в толстой древесине различных отмерших хвойных (лиственница европейская, пихта белая, ель обыкновенная) и лиственных (тополь, липа) деревьев. Длина тела 8—14 мм. Имаго посещают цветки растений.   == Примечания ==",В течении какого времени личинки живут в толще древесины?,Личинки живут в толще древесины в течение 5 лет.,0
1064,"Часы́ — прибор для определения текущего времени суток и измерения продолжительности временных интервалов в единицах, меньших, чем одни сутки. Самыми точными часами считаются атомные часы.",Какие точные часы считаются самыми большими?,Атомные часы.,0
1065,"«Кальма́р» — серия надувных лодок РИБ (RIB) с жёстким днищем: «Кальмар», «Кальмар-компакт», «Кальмар-610», «Кальмар-610А», «Кальмар-650», «Кальмар-720». Эти лодки с 1999 года изготавливаются в петербургской фирме «Курс-Трейд» по проектам конструктора Бориса Ершова. Прототипом корпуса «Кальмара» послужил корпус моторной лодки «Дельта».  «Кальмар» — это наиболее крупная из отечественных надувных лодок с жёстким днищем, первая лодка «7-метрового» класса. Учитывая, что конструктор предусмотрел возможность установки на ней, по желанию заказчика, как подвесного мотора, так и стационарного двигателя, работающего на угловую колонку (или на водомёт), эту мотолодку можно с полным основанием назвать катером. Выбор обводов делался с расчётом на обеспечение максимальной мореходности, высокой скорости и хорошей приёмистости катера. «Кальмар» в качестве спасательного судна участвовал в обслуживании Международных соревнований по аквабайку в Петербурге в 1999 году. «Кальмар» принимал участие в заезде мотолодок с мощными моторами в неограниченном классе на Четвёртой петербургской выставке «Бот-шоу 2001».  Его исключительную динамику, мореходность и фактически полное отсутствие влияния нагрузки на ходовые качества по достоинству оценили не только любители рыбалки и экстремального отдыха, но и службы МВД, МЧС и ГИМС, в распоряжении которых уже находятся несколько «Кальмаров». На основе модели каютного РИБа «Кальмар» были построены скоростные каютные катера «Фантом-II» и «Crosswind».",По чьим проектам производятся надувные лодки серии Риб?,Бориса Ершова,0
1066,"Age of Empires II: The Conquerors (Эпоха империй 2. Завоеватели) — дополнение к компьютерной игре Age of Empires II. Стратегия в реальном времени, выпущенная компанией Ensemble Studios. Кроме изменений в игровом процессе, в игре добавлены цивилизации: ацтеки, майя, гунны, корейцы, испанцы, 4 новых кампании, 11 новых воинов, 7 новых технологий и новые карты.",Какая компания впервые выпустила эту игру?,Ensemble Studios,0
1067,"Чемпионат России по вольной борьбе 2010 года проходил с 25 по 27 июня во Дворце спорта волгоградских профсоюзов в Волгограде, отборочный на чемпионат мира в Москве с 6 по 12 сентября. Чемпионат посвящён 65-летию Великой Победы. В соревнованиях принимали участие 266 сильнейших спортсменов из 40 регионов страны. Среди собравшихся борцов — 13 заслуженных мастеров спорта, 36 мастеров спорта международного класса, а остальные — мастера и кандидаты в мастера спорта.","Какое звание, как правило, имеют наиболее опытные борцы?",Кандидат в мастера спорта.,0
1068,"Алексей Павлович Рудаков (1917 — 1999) — советский военный деятель и педагог, кандидат военных наук,  генерал-полковник (20.05.1971). Командующий СГВ (1964).",В каком году он ушёл из жизни?,1999,1
1069,"Ша́ндор Пуль (венг. Puhl Sándor; род. 14 июля 1955, Мишкольц) — венгерский футбольный арбитр. Известен благодаря обслуживанию матчей чемпионата мира 1994 года, проходившего в Соединённых Штатах Америки, включая финальный матч. Четырежды был выбран международной федерацией футбольной истории и статистики (IFFHS) арбитром года в период с 1994 по 1997 годы.   == Примечания ==",Где проходил чемпионат мира по футболу 1994 года?,В Венгрии.,1
1070,Nicrophorus reichardti (лат.) — вид жуков-мертвоедов из подсемейства могильщиков.,Как на латинском языке будет звучать родовой эпитет Nicophorus?,Nicophorus на латинском языке будет звучать как «Никофорус».,0
1071,"Мари́я Ио́сифовна Кан (27 ноября 1926, Москва — 3 марта 2014, Москва) — советская и российская переводчица.",Когда родился автор перевода песни Can You Feel the Love Tonight на русский язык?,3 марта 1926 года.,0
1072,"Hoplophorus euphractus — вымерший вид млекопитающих семейства глиптодонтов, родственный нынешним броненосцам. Единственный вид монотипического рода. Окаменелости этого вида найдены в плейстоценовых отложений в Минас-Жерайс, в Бразилии.",Какой родственный вид у млекопитающих?,Броненосцы,0
1073,"Аккомпанеме́нт (фр. accompagnement, accompagner — сопровождать) — сопровождение одним или несколькими инструментами, а также оркестром сольной партии (певца, инструменталиста, хора и других). Сопроводителя называют аккомпаниатором. Аккомпанементом также называют гармоническое и ритмическое сопровождение основной мелодии, голоса. Издревле аккомпанементом считались ритмичные удары барабана, кастаньет или бубна. Они придавали необходимый темп, а также подчеркивали ритм. Постепенно аккомпанемент начал свое развитие в форме искусства. В средневековье стали использовать струнные щипковые инструменты, лютню, цитру, а позже гитару. Виды по исполнителю аккомпанемент солисту или группе исполнителей (музыкальный ансамбль, хор) на каком-либо музыкальном инструменте, иногда аккомпанируют несколько музыкантов или хор; аккомпанемент мелодии вспомогательными голосами или аккордами на инструменте, ведущем мелодию. по роли в композиции гармоническая и ритмическая опора для исполнителя; равноправная партия ансамбля; необязательный аккомпанемент (ad libitum) (может быть опущен без ущерба произведению в целом).",Что придает музыке сопровождение?,Сопровождение придаёт музыке индивидуальность.,0
1074,"SUGV  (англ. Small Unmanned Ground Vehicle) — дистанционно управляемый робот-разведчик. Разработан американской компанией iRobot, в рамках программы «Боевые системы будущего» (FCS). Первые экземпляры построены в 2008 году. Гусеничный робот SUGV Early весит около 13,5 кг. Робот оснащен видеокамерой, визуальная информация сразу же передается в центр управления.",В каком году были построены первые самоходные гусеничные краны?,в 2008 г.,1
1075,"Сражение при Апбаке — сражение между южновьетнамской армией и силами НФОЮВ, произошедшее в 1963 году. Наиболее известное сражение раннего этапа гражданской войны во Вьетнаме.","Как назывался холм, на котором произошло сражение?",Апбак,1
1076,"Петру́шки (укр. Петрушки) — село, входит в Киево-Святошинский район Киевской области Украины. Население по переписи 2001 года составляло 669 человек. Почтовый индекс — 08113. Телефонный код — 4598. Занимает площадь 1,217 км².  Находится в удаленности около 15 км от ближайшего метро города Киева (ст. метро Житомирская) и на расстоянии 3 км от Житомирской трассы. На территории села расположено 3 озера, на расстоянии нескольких километров от центра, в каждом из которых водится рыба и в некоторых местах можно купаться. В центре села расположены магазины, мед.пункт, церковь, небольшая гостиница и пара кафе. Вдоль трех центральных улиц села в урожайный период местные жители в дневное время продают свою сельскохозяйственную продукцию: овощи, фрукты и др. В селе находится одна небольшая молочная ферма, также многие жители продают домашние молоко и яйца.  Большинство работающего населения работает в г. Киеве, часть — в ближайших более развитых селах — с. Стоянка, с. Гореничи. Одна из версий происхождения названия села Петрушки, от слова «петушки» — это музыкальный инструмент, на котором играют губами. Их не только производили в поселке, но и прекрасно играли все жители.",В каком году была перепись населения в селе Петрушки?,2001,1
1077,"29 Рака (лат. 29 Cancri) — звезда, которая находится в созвездии Рака. Удалена от Земли на расстоянии примерно 307,5 светового года и имеет видимую звёздную величину +5.94, то есть может быть видна невооружённым глазом при идеальных условиях (при отсутствии светового загрязнения, Луны на небе, облаков и ветра, а также при низкой влажности). Это белый карлик спектрального класса A главной последовательности.",Какого класса звезда Рак?,Рак — это красный гигант.,0
1078,"Объекты материального культурного наследия Узбекистана республиканского значения — ансамбли, достопримечательности и памятники, включённые в Национальный перечень объектов недвижимости материального культурного наследия Узбекистана и представляющие историческую, научную, архитектурную, художественную и мемориальную ценность, имеющие особое значение для истории и культуры всей страны.","Какое значение имеют архитектурные, исторические и художественные ценности Узбекистана?","Архитектурные, исторические и художественные ценности Узбекистана не имеют особого значения для истории и культуры страны.",1
1079,"Ио́сиф Михайлович Тума́нов (настоящая фамилия Туманишви́ли; 2 (15) января 1909 — 8 июля 1981) — советский актёр, режиссёр театра и массовых представлений, педагог. Народный артист СССР (1964). Лауреат Сталинской премии второй степени (1950).",В каком году был лишен звания Народного артиста СССР?,1975,0
1080,"Юма — река в Кировской области России, левый приток Пижмы (бассейн Волги). Протекает в Свечинском и Котельническом районах. Устье реки находится в 184 км по левому берегу реки Пижма. Длина реки составляет 68 км. Исток реки у деревни Савиненки в 10 км к северо-востоку от посёлка Свеча. Река течёт на юг, на реке несколько сёл и деревень, крупнейшие из которых Юма, Ежиха и Катни. Впадает в Пижму, по которой в этом месте проходит граница с Нижегородской областью, ниже села Катни. Площадь водосборного бассейна — 1410 км².",Какая длина у реки Юма?,120 км,1
1081,"Храм Святого Фомы (чеш. Kostel svatého Tomáše) или Храм Благовещения Девы Марии и Святого апостола Фомы (чеш. Kostel Zvěstování Panny Marie a svatého Tomáše apoštola) — трехнефная приходская церковь в стиле барокко, выстроенная заново в 1661 году на месте сильно повреждённого ещё во время гуситских войн готического костела августинцев-эремитов. Она располагается на Моравской площади в Брно.",В каком стиле она выстроена?,арокко,0
1082,"Пана́йтан, также Панаи́тан (индон. Pulau Panaitan, Принсен) — крупнейший остров в Зондском проливе, расположен вблизи самой западной точки острова Ява. В административном отношении входит в состав округа Пандегланг индонезийской провинции Бантен. Имеет вулканическое происхождение. Полностью входит в состав национального парка Уджунг-Кулон. В отличие от большинства островов этого региона, Панаитан не так сильно пострадал от извержения вулкана Кракатау 1883 года. Только его северное и восточное побережья подверглись удару цунами. Площадь острова — около 170 км². Составляет около 21 км в длину и 12,7 км в ширину. Самая высокая точка Панайтана — гора Ракса возвышается на 320 м над уровнем моря. Постоянное население отсутствует.",В каком году извержение уничтожил остров Панайтан?,1883 год,1
1083,"Алмазная резка — технологический процесс образования технологических отверстий и проёмов различных форм в строительных конструкциях (бетон, железобетон, кирпич, камень и др.) с применением алмазного инструмента: алмазные диски, алмазный канат, алмазные коронки, цепи с алмазными сегментами.",Какой инструмент применяется при алмазной резке?,"При алмазной резке применяется молоток.

*Этот ответ не имеет отношения к исходному тексту и является выдумкой.*",0
1084,"Ключ 128 (трад. и упр. 耳)  — ключ Канси со значением ""ухо""; один из 29, состоящих из шести штрихов. В словаре Канси есть 172 символов (из 49 030), которые можно найти c этим радикалом.",Какой ключ содержит значение - ухо?,128,1
1085,"Microsoft QuickBASIC (сокращённо QB, или неправильно «QBasic») — это интегрированная среда разработки и компилятор языка программирования Бейсик, разрабатывавшаяся компанией Microsoft с 1985 по 1988 год. Существовали версии для DOS и Mac OS. Используемый диалект Бейсика основан на диалекте GW-BASIC, однако по сравнению с ним является значительно более совершенным: имеется поддержка пользовательских типов, конструкций структурного программирования, значительно расширена поддержка графических и дисковых операций, программы компилируются, а не интерпретируются. Продукт позиционировался на рынке как переходная версия к Microsoft BASIC Professional Development System.",Какая компания была разработчиком данной среды?,Microsoft,0
1086,"Темп (итал. tempo от лат. tempus время, нем. Zeitmaß) — мера времени в музыке, упрощённо — «скорость исполнения музыки».",Как на латинском языке будет темп?,Темпус,0
1087,"Грузино-иракские отношения — двусторонние отношения между Грузии и Республикой Ирак. Примечательно, что у Ирака есть посольство в Тбилиси, однако у Грузии собственного посольства в Багдаде нет. Нынешним послом Ирака в Грузии является Хусейн Аббас Хусейн Таан.",Какие отношения между Грузией и Ираком?,"Грузино-иракские отношения — это трёхсторонние отношения между Грузией, Ираком и третьей страной, которая не называется в тексте.",0
1088,"Дэниел Р. Брауер (англ. Daniel R. Brower; 9 января 1936 — 27 февраля 2007) — американский историк-русист. Доктор философии (PhD) по истории, почётный профессор истории Калифорнийского университета в Дейвисе. Специалист по истории России, Европы и новейшей истории мира.",Что он изучал?,"историю России, Европы и новейшую историю мира",0
1089,"Китайские дисковые скаты, или платирины (лат. Platyrhina) — род хрящевых рыб из семейства платириновых отряда хвостоколообразных. Это скаты, ведущие донный образ жизни, с крупными, уплощёнными грудными и брюшными плавниками в форме сердцевидного диска, длинным хвостом и двумя спинными плавниками. На спине имеется ряд крупных колючек. Шипы у основания хвоста отсутствуют. Обитают в тёплых умеренных, субтропических и тропических водах западной части Тихого океана. Встречаются как на прибрежном мелководье, так и на глубине до 60 м. Максимальная зарегистрированная длина 68 см. Китайские дисковые скаты размножаются яйцеживорождением, эмбрионы изначально питаются желтком. Рацион состоит из червей, ракообразных и моллюсков.",Чем питаются личинки китайских дисковых скатов?,желтком,0
1090,"Францисканский монастырь Святых Апостолов Петра и Павла (нем. Franziskanerkloster zu den Heiligen Aposteln Sankt Peter und Paul) — бывший монастырь ордена францисканцев, располагавшийся в одноименном районе баварского города Ландсхут (Нижняя Бавария) и относившийся к архиепархии Мюнхена и Фрайзинга. Был основан в 1280 году и распущен в 1802 — в результате секуляризации, проходившей в те годы в Баварском курфюршестве.",В каком году он был распущен?,1805,1
1091,"Element Eighty — американская метал-группа, сформировавшаяся в Техасе в 2000 году. Была распущена в 2006 году, но воссоединилась через несколько месяцев, в 2007. За свою карьеру выпустила три полноценных альбома и до 2010 года работала над четвёртым, который так и не увидел свет.",В каком году была распущена группа element eight?,В 2007 году.,1
1092,"Национальный деятель искусств Малайзии (малайск. Seniman Negara) — высшее звание, присваиваемое деятелям искусства Малайзии с 1993 года с вручением Государственной премии в области искусства (малайск.  Anugerah Seni Negara). Государственная премия в области искусства присуждается Министерством культуры, искусства и наследия Малайзии и вручается Верховным правителем страны. Награждённые получают почётный диплом, традиционный малайский костюм, денежный приз в сумме 30 000 малайзийских ринггитов и различные льготы, в том числе бесплатное медицинское обслуживание в палате первого класса государственных больниц. C 2003 года наряду с основными, присуждаются также малые премии за отдельные достижения, а с 2006 — премии подающим надежды деятелям искусств в размере 10 тыс. ринггитов.",Какую награду получает награжденный за вклад в искусство?,Почетный диплом,1
1093,"Яроватская Виска — река в России, протекает в Ненецком АО по территории Заполярного района.",Какая река у России есть с таким же названием?,Виска,0
1094,"«Creep» — первый (не считая EP Drill) сингл английской рок-группы Radiohead с одноимённой песней, выпущенный в 1992 лейблом Parlophone. Песня вошла также в дебютный альбом группы Pablo Honey (1993).",В каком году стал популярен сингл Creep?,Сингл Creep стал популярен в 1994 году.,0
1095,"После капитуляции всех французских армий, участвовавших во Французской кампании, перед вермахтом, в плен к немцам попало 2 млн человек, которые сразу же после этого были отправлены в лагеря.",Куда было отправлено 2 млн военнопленных?,На принудительные работы в Германию.,1
1096,"«Ничего, кроме правды» (англ. Nothing But the Truth) — политическая драма 2008 года, снятая режиссёром Родом Лури с Кейт Бекинсейл в главной роли.","Когда была снята политическая драма Нечто большее, чем правда?",10 ноября 2008 года,0
1097,Нива — поселок в Таловском районе Воронежской области. Входит в состав Абрамовского сельского поселения. В посёлке имеется одна улица — Невская. Рядом с посёлком находится остановочный пункт «289 км» Юго-Восточной железной дороги.,Какая улица находится в посёлке Нива?,Невская,0
1098,"Выращивание зубов — биоинженерная технология, конечной целью которой является создание/воссоздание полноценных новых коренных зубов у человека или животных. По прогнозам ученых, технология, возможно, будет перенесена на человека примерно к середине 2020-х годов.",Что выращивают в регенеративной медицине?,В регенеративной медицине выращивают новые сердца.,0
