line_id,summary,question,answer,is_hallucination
23,"Пенелопа Энн Кёлен (англ. Penelope Anne Coelen; родилась в 1940 году в городе Дурбан, ЮАС) — победительница конкурса красоты «Мисс Мира 1958». В 1958 году конкурс «Мисс Мира» был ещё в начале своего существования. Восьмой конкурс прошёл с большим успехом, в нём приняли участие 22 красавицы из Европы, Америки, Азии и Африки. Европейки доминировали в полуфинале, имея 9 из 12 мест. 5 из 6 финалисток были из Европы, но предпочтение было отдано девушке из Южной Африки, которая и увезла домой желанную корону. Пенелопа Энн Кёлен, или Пенни для её друзей и поклонников, была избрана Мисс Мира и стала первой победительницей из Африки. 18-летняя девушка, секретарь по профессии, привела в восторг аудиторию своей красотой. Она пользовалась широким международным вниманием во время исполнения своих обязанностей в качестве Мисс Мира и получила несколько выгодных предложений от модельных агентств. После окончания полномочий королевы красоты она попыталась сделать карьеру в Голливуде с помощью Джеймса Гарнера, но не смогла пройти кинопробы. Однако ей удалось запустить линию одежды и косметических товаров под своим именем, а 25 ноября 1958 года она приняла участие в телевизионном шоу To Tell the Truth. Позже она вернулась в Южную Африку, вышла замуж за богатого фермера Мишеля Рея из провинции Квазулу-Наталь и остаётся на сегодняшний день известной светской дамой в своей стране. У неё пятеро сыновей и трое внуков. Кёлен занимается фотографией и является владелицей салона красоты. В честь неё назван сорт роз — Rosa Penny Coelen.",В каком году был последний конкурс красоты?,1958,1
24,"Kingella potus (лат.) — вид грамотрицательных палочковидных бактерий из рода кингелл. Впервые выделены и описаны в 2005 году. Носителями являются млекопитающие кинкажу, заражения происходит при укусе. Описано два случая заражения человека. Симптомами заболевания, вызываемого бактерией, служат высокая температура, боль в животе, головная боль, кровь в моче.   == Примечания ==",Кто является переносчиками бактерии?,Переносчиками бактерии являются птицы.,1
25,"Мультиплатформенная компьютерная игра, Многоплатформенная компьютерная игра — компьютерная игра, которая способна работать на нескольких аппаратных платформах компьютера. Мультиплатформенные компьютерные игры относятся к кроссплатформенному программному обеспечению. Для каждой отдельной платформы мультиплатформенная игра имеет отдельную версию, которая предназначена для запуска именно на этой платформе. В зависимости от особенностей игры и целевых платформ версии одной игры для разных платформ могут отличаться одна от другой в разных степенях. Платформы, на которых выходит мультиплатформенная игра, называют целевыми платформами.","Как называют платформу, на которой запускается многопользовательская игра?",целевой платформой,0
26,"Ганг (хинди गंगा, gaṅgā IAST, [ˈɡəŋɡaː]  слушать, Ганга; англ. Ganges) — одна из самых полноводных и длинных (2700 км) рек Южной Азии, вместе с Брахмапутрой занимает 3-е место в мире по водоносности после Амазонки и Конго. Берёт своё начало в Западных Гималаях с ледника Ганготри в штате Уттаракханд, протекает на юго-восток, пересекая Индо-Гангскую равнину на севере Индии, и впадает в Бенгальский залив, формируя вместе с реками Брахмапутра и Мегхна дельту Ганга-Брахмапутры (преимущественно на территории Бангладеш), часть которой покрыта лесами Сундарбан. Площадь бассейна реки — 1 060 000 км². Ганга в индуистской мифологии — небесная река, которая спустилась на землю. С давних времён считается священной рекой для индуистов. Индуисты совершают к ней паломничества, особенно к её истокам и городам Харидвар, Варанаси и Аллахабад (место впадения Джамны). На её берегах проходят кремации, в воде рассеивается прах умерших индуистов и осуществляются ритуальные омовения. Река активно используется для орошения. Бассейн Ганга, площадью более 1 млн км², является одним из наиболее густонаселённых регионов Земли. Судоходство на реке сейчас несколько усложнилось и возможно лишь от устья до города Канпур на плоскодонных лодках. Ганг является главной водной артерией Бенгалии и северо-восточных штатов Индии, часто рассматривается как символ всей страны. Первый премьер-министр Индии Джавахарлал Неру в своей классической работе «Открывая Индию» 1946 года писал:  Ганг, в большей степени, чем остальные реки Индии, удерживал её сердце и привлекал к своим берегам бессчётные миллионы людей с древнейших времён. История Ганга, от истоков до моря, от древности до наших дней, является историей цивилизации и культуры Индии, зарождения и падения империй, больших и гордых городов, приключений человека…"," Как называется река, третья по длине в Южной Азии?",Ганг.,1
27,"Мария Васильевна Корча́гина (в девичестве — Сеняни́нова, 1900—1966) — советская учёная-биолог — ботаник-систематик, геоботаник, генетик, эмбриолог и физиолог растений, доктор биологических наук (1935).",В каком году была удостоена звания академик?,1966,1
28,"Гелиограф (от др.-греч. ἥλιος — Солнце и γράφω — пишу), в технике связи — оптический телеграф, устройство для передачи информации на расстояние посредством световых вспышек.  Главной частью гелиографа является закреплённое в рамке зеркало, наклонами которого производится сигнализация (гелиографирование) серией вспышек солнечного света (как правило, азбукой Морзе) в направлении получателя сигнала. Обычно гелиографы выполнялись мобильными и монтировались на треноге. Были широко распространены в армиях и флотах многих государств и стран в XIX и начале XX века (в армии Великобритании и Австралии — вплоть до 1960-х). Дальность связи в хороших условиях (солнечный день, чистая атмосфера) могла превышать 50 километров. Рекорд дальности связи посредством гелиографа был поставлен в США в 1894 году (расстояние между точками передачи и приёма 295 километров, обе располагались на горных вершинах). В стандартное оснащение спасательных плотов входит зеркальце с отверстием — для возможности привлечения внимания судов и самолётов при помощи «солнечного зайчика». Существуют сигнальные зеркала двух видов по материалу: из металла и из стекла. Сигнальное зеркало бывает двух видов: двойное (состоит из двух соединенных друг с другом с помощью небольших петель зеркальной и матовой створок) и с целиком (пластина с отверстием в центре).",Как передаётся информация при гелиографе?,Информация при гелиографе передаётся с помощью звуковых сигналов.,1
29,"Голубь – одноместный планёр конструкции О. К. Антонова. Построен в 1924 в Саратовском планёрном кружке. На II Всесоюзных планерных испытаниях, «Голубь», управляемый лётчиком В. М. Зерновым, выполнил несколько небольших подлётов. Конструкция планёра была отмечена грамотой жюри слёта.",Какую награду получил конструктор?,грамоту,0
30,"Группа 1994, англ. 1994 Group — коалиция 19 «меньших университетов с интенсивной исследовательской деятельностью» Великобритании. Группа основана в 1994 году, в какой-то мере в противовес основанной ранее в том же году Группе Рассел, объединившей крупнейшие университеты Великобритании. Среди членов Группы 1994 — немало «университетов из листового стекла», получивших университетский статус в 1960-е годы. В «Группу 1994» входят примерно половина из ведущей двадцатки университетов Великобритании.",В каком году была основана группа 1994?,Группа 1994 была основана в 1960-е годы.,1
31,"Мише́ль Перире́н (фр. Michel Perhirin; 29 мая 1944, Дуарнене — 22 января 2019, Фуэнан) — французский банкир международного уровня, работал в Société Générale, председатель правления российских Райффайзенбанка (2001—2005), затем МДМ-Банка (2006—2008).",В каком году он стал во главе правления банка?,2001,0
32,"Взрывные согласные (плозивы, эксплозивные, чистые смычные) — смычные согласные, при артикуляции которых нёбная занавеска поднята, и воздух проходит в ротовую полость (в отличие от носовых смычных), а размыкание смычки происходит резко и напоминает взрыв (в отличие от аффрикат). Взрывные согласные являются одними из самых распространённых в языках мира. Во всех языках есть взрывные и в большинстве есть как минимум [p], [t], [k]. В разговорном самоанском нет зубного [t], а в северных ирокезских — губно-губного [p].",Какие согласные звук [п] имеет отличия от других смычных?,"Звук [п] отличается от других смычных согласных тем, что он является губно-губным.",1
33,"Жёсткой ссылкой (англ. hard link) в UFS-совместимых файловых системах называется структурная составляющая файла — описывающий его элемент каталога. Файл в UFS представляет собой структуру блоков данных на диске, имеющую уникальный индексный дескриптор (или i-node) и набор атрибутов (метаинформацию). Жёсткая ссылка связывает индексный дескриптор файла с каталогом и даёт ему имя.",С чем жёсткая связь создаётся благодаря уникальному индексу?,Благодаря уникальному индексу создаётся жёсткая связь с операционной системой.,1
34,"Физическая космология (естественная космология, физика Вселенной) — это область физических наук, занимающаяся изучением и описанием Вселенной в самых больших её масштабах, её происхождением, эволюцией до текущего состояния и будущим.",Какая космология изучает происхождение и эволюцию Вселенной?,Математическая космология.,1
35,"Гамид Гусейн оглы Годжаев (азерб. Həmid Hüseyn oğlu Qocayev; род. 1891, Казахский уезд) — советский азербайджанский животновод, Герой Социалистического Труда (1949).",В каком году был удостоен звания Герой Советского Союза?,в 1949 году,0
36,"Томотерапия — это метод лучевой терапии, который основывается на совмещении спирального томографа кругового охвата с бинарным многолепестковым коллиматором, который непрерывно зондирует нужную область направленными лучами радиации, обеспечивая терапию с более точной модуляцией интенсивности облучения, происходит облучение опухоли во всех направлениях с разворотом на 360⁰ и с разделением на множество слоев. Встроенное устройство визуализации определяет и проверяет локализацию опухолевой ткани, которая в дальнейшем подвергается высокоточному облучению, минимизируя воздействие на здоровые ткани и органы.",Что обеспечивает непрерывный зондирующий облучатель?,Непрерывный зондирующий облучатель обеспечивает непрерывное наблюдение за процессом лучевой терапии.,1
37,"Монотонный оператор — оператор, удовлетворяющий условию монотонности. Понятие монотонного оператора является обобщением понятия монотонной функции. Широко применяется в функциональном анализе при исследовании и приближённом решении краевых задач для дифференциальных уравнений с частными производными.",При решении каких задач часто применяется понятие монотонный оператор?,Краевых задач,0
38,"Открытый чемпионат Катара — мужской профессиональный теннисный турнир, проводимый на рубеже декабря и января в Дохе (Катар) на хардовых кортах местного Khalifa International Tennis and Squash Complex. С 2009 года турнир относится к серии ATP 250 с призовым фондом около 1,5 миллионов долларов и турнирной сеткой, рассчитанной на 32 участника в одиночном разряде и 16 пар.",В какой период проводится открытый чемпионат Катар?,Открытый чемпионат Катара проводится в середине осени.,1
39,"Каменный орёл (лат. Aquila rapax) — хищная птица семейства ястребиных. Ранее описывался как один вид с Aquila nipalensis (вместе с которым, под названием «Степной орел — Aquila rapax», занесён в Красную книгу России), в настоящее время выделен в самостоятельный вид. Образуют кладу с могильником, испанским могильником и степным орлом.",В какой книге описан каменный орел?,Каменный орёл описан в книге «Властелин колец» Дж. Р. Р. Толкина.,1
40,"Церковные взыскания — в христианских церквях, мера пресечения грехов и нарушения церковных установлений, среди членов Церкви.",Что может быть причиной для церковных взысканий?,Причиной для церковных взысканий может быть желание укрепить дисциплину и порядок в церкви.,1
41,"Разница в длине нижних конечностей (разница в длине ног) — это состояние, при котором длины сегментов нижних конечностей (бедро и/или голень) отличаются друг от друга. У людей умеренная разница между двумя сторонами тела встречается достаточно часто. Например, одно исследование сообщило, что у 51 % из 1000 военных имеется разница в длине ног до 5 мм. Это — нормальное состояние, не требующее лечения и применения специальных ортопедических изделий. Большие различия требуют лечения.",Чего требуют большие различия?,Большие различия требуют хирургического вмешательства.,1
42,"Крепость Арад (араб. قلعة عراد) — фортификационное сооружение в Бахрейне. Построена приблизительно в конце XV века. Расположена на острове Мухаррак, в городе Арад (Бахрейн), к западу от столицы Манама, вблизи международного аэропорта. Сыграла важную роль в укреплении государственности Бахрейна. В настоящее время является музеем. Стоимость входа — один динар (приблизительно 200 рублей).",В начале какого века была построена крепость Арад?,В начале XVI века.,1
